******** BOOKKEEPER/CommitList.txt ******
TOTAL NUMBER:1127

Commit{id=9ea37773fa07e8e1c16e654020ae34c3d6564963, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}
Commit{id=da1df6bcf4f3a1cc2ed4d3798764e855555ab8f8, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=afdd3dd1e7e06f97e29ff5bcaa2001f81f6d9210, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=675efc92fdb7c88ff9b871ba2ccf56974f769544, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=360174f12df9b853e4f3b65631c4063e150beb8f, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=28377803242f8514fcdf17f7a808aa756fa158b9, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=79ea05a3cbcc953bd86f024eb4143e4b85fcd8f1, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=ba9ebc213c14aa5d16a26f2e0601a39ac5888e10, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=6823a35ceafcaf3d8802a8e502883d3d07e891f7, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=06eea6791177f3d9dcb116ceccff2f6c3f619a39, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=9639b64a1296f937a7b2704de671a38deb31007b, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=c980c700d1313911903df3d4c3d48cf8da441827, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=2f2f6c66da80e1f2e8a0f7661e91bcd0898d6289, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=2c91d144a7e283c09e90b3065aa6fb352e177083, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=d05e52ce5a6bf8b0076685ccec03f5ab91b2b32d, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=477eb1053f5c1bff1c0037fb0d6a02b468148682, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=4f09c6b4af38b51d259d8a6068806f7f22cc1847, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=45f2edbb1c3233309f6498e581e4cdcd87dcb70a, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=d6465cad801b4ee89b77d1beec6acc371f8ddb6c, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=c898d53ab269fbd64cb00919808c7bb0c52c53a6, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=68bdab655445f80314a0d2531e60e3b2e4d8fa17, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=d1823db0509fe49b0ce8140c620e4c5100427407, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=ea616470cfbd129bb03098698a562e1b8dd8ecc4, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=dc5f5d223502b8bc9ef6bc3706f3bbea975e757e, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=978c0e13dd5896494f306ec2afed026caa9993b0, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=e7184063b0fa20fbbb9802863143a11183858656, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=c17dfb9aa2aeb6d3d1c6fa934dc9ef15bf6b5bc2, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=2ea2fd09f2bbbea18e183c8af8e82e81eee9fe79, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=6e3b195d16ef4b24618d7bb13b3eede6b9126e74, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=cc467bd5880c2879e6c0355469d51759f89bbabc, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=75dbf699b90dd01b0dd44e4bdda60e7176b3ee12, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=64411b9af4eede947f0cf0fd46da4d3170ec18e4, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=4be547c861f024e48a7b0074effb8c26ff0a97fc, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=b83d00086a263af5b51e3e061170934c53447976, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=304bf8fe61bd545072d09c7089d8b92fc3c2f1d3, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=3969ff71a1865b5b8c32b60ac529999c6de71ab8, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=03e03c2b4a0eb0266cad4eb5e34099100629425e, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=e14618559769b7f3fa68360a4571a84392e162e3, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=4049d4c2b115f81008ef7a3920fd9153ced2f53c, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=4afc000c193174857925f357a32950ab743490bc, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=d33f843a67ad8bc73367259c78170c0bfab24cdc, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=aed845b574b88abc825634d3c860dcfd40351fb8, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=1bcbc47bcc6394b0c6fdeb73203aab59eab0fee5, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=e110067476eb55289d6dd86a94a6a1b0ab1a2ad8, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=9daeb60bc274a425b9e90ed50d3454a6bfb3cf31, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=d5d73a8591369458c075034b8111f0dfabc2916d, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=3af9f38fc3b53c40751904972384ecb9a4e9fb44, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=924fb834de0ae926ea075385c47dd29f8dd804a3, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=c323c003687319d20eb7539c0e85a9cf3a4a6d08, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=504867718d934b66dfa4df8edc55c9c888aa3d42, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=da088187d80bf0b935aad14c1a4aa73e4920378f, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=8b6f36788cb4614d506e0e526475592cd8fbeb6a, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=aa1d8296672a1a29fdc3de630f5995c0d1a21429, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=e3b52e82ccccf4807100db0950609ec7ede8378c, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=544f4b5c0480bb383134fe6e26c2fe0e0a6c8b11, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=86040b51874dcb40d1693593942d975c8327e919, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=49aa4df144abcd6b117ac376b71ac70a5af946b7, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=fa78ba95d4e6ccff5ebb734e6036b11c802b3030, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=92e69b331797ea6a4eb4d46b668360e6c7bb9bd4, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=12840c3e9e85ac400597d26663b19277c41987a7, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=f2e9d4ca08e6ce254c61e0a27a04a7b2f95c6642, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=814f0ab6b4d43a35992e995c8abd804326ec633b, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=5b90ba75a5cfa13a77297fd488024cd05ce07420, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=9794cc0c6d8531c1a6540db660e55add2469d019, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=3bc2bdb0d0f38b004fa95a58e8b02104005c663b, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=63b032331f28fe434ea37d7cb2e515609298b7ed, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=86844d7303f62a8e2361ca56d83ba2d47e5c77b8, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=dcfe4bcc5123eb70a5366bbf3b4931d8d23f9e48, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=213db5d6a6d55b5b093776a4c54fa5c8ffed5f0d, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=d006007ccf86f924d0773e267675a52e98314710, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14, ticket=null, release=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}}

Commit{id=9eb549d4c308963af0be3288a59b0c4c39cbb5e6, ticket=Ticket{ticketID='BOOKKEEPER-142', creationDate=2011-12-12, resolutionDate=2011-12-16, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=015097021c1a2d2860643fda7fcb3e8a0d191442, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=8f755ed13f193ad6491fdca1794d834f3d3d4dcc, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=0975f069d90748eb43fcec7622d3961b0446ea28, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=e32715ad96558a9941910dd6ae91fc1c646baeb6, ticket=Ticket{ticketID='BOOKKEEPER-148', creationDate=2012-01-02, resolutionDate=2012-01-11, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=0d43f404ea145a35d46371967975f9590649a033, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=c7c8af741a2f532b554dcdabf85237c23ea14aaa, ticket=Ticket{ticketID='BOOKKEEPER-150', creationDate=2012-01-03, resolutionDate=2012-01-17, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=cdcfbb52cbf8f0e6f17d56d7185cf0d04c9c856b, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=f56e596d70c66dac170008ffbe19489eee05be08, ticket=Ticket{ticketID='BOOKKEEPER-153', creationDate=2012-01-16, resolutionDate=2012-01-18, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=7e12629ed7a2006e4805dac0e5c006324a52d5db, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=5a7f4991610ad60d277830b72dc5d890c63a0f07, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=d5fc00dc6b0a888b68131b7dff7309687c96d07e, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=835d963cb26d0a5d5b1cc79a0faf185b49673d16, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=cfe3e650b69b2b599dd5b2f27f2164af38c7a2be, ticket=Ticket{ticketID='BOOKKEEPER-161', creationDate=2012-02-06, resolutionDate=2012-02-07, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=3272204448bf210d03377ba822d01419ad197a17, ticket=Ticket{ticketID='BOOKKEEPER-167', creationDate=2012-02-08, resolutionDate=2012-02-08, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=bd2efa12f1f63afa90723ce405caebafb4afd6be, ticket=Ticket{ticketID='BOOKKEEPER-156', creationDate=2012-01-29, resolutionDate=2012-02-08, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=a3c9c953db49bc1ec3d72f01212e6cbcd58cc5d3, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=beca5951f73cb9c39be10a4166a90dee9fff3c1c, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=c65d6ada34215ee3a5466c495d565d745857c435, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=29a472598083e522645f918ec602dd91d800f0d5, ticket=Ticket{ticketID='BOOKKEEPER-162', creationDate=2012-02-07, resolutionDate=2012-02-13, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=5a3b29d05abd71c6e5d1b3045abafd434db15f24, ticket=Ticket{ticketID='BOOKKEEPER-152', creationDate=2012-01-11, resolutionDate=2012-02-13, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=3defe9e5110472da995789b5ae14c286f58f1293, ticket=Ticket{ticketID='BOOKKEEPER-171', creationDate=2012-02-14, resolutionDate=2012-02-15, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=633a23b3a20b27a551328be2efe5f057be3c99e2, ticket=Ticket{ticketID='BOOKKEEPER-170', creationDate=2012-02-14, resolutionDate=2012-02-15, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=bad375aa35a2c17c466d2be7481e7d16220d59b0, ticket=Ticket{ticketID='BOOKKEEPER-169', creationDate=2012-02-14, resolutionDate=2012-02-17, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=014bcd501c14141facd0e3eb4bb488ccba3a2b7d, ticket=Ticket{ticketID='BOOKKEEPER-174', creationDate=2012-02-16, resolutionDate=2012-02-17, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=92}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=110d36673bcc393853aaab4bb423d785daa947c7, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=9523193456992a2edd36106120a8a9f246af6995, ticket=Ticket{ticketID='BOOKKEEPER-177', creationDate=2012-02-23, resolutionDate=2012-02-24, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=2ec70d4dbf2266b17bdb99975f974f30afa65593, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=9366322bfe3461a44a8b0444e66cd774ea1ac7d8, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=76818a6aadd4aa40a45aca6f5b0acba79cd42515, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=431554da9e2598c73edfbaf671e87cfd9ae94716, ticket=Ticket{ticketID='BOOKKEEPER-176', creationDate=2012-02-17, resolutionDate=2012-03-01, injectedVersion=Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}, openingVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, fixedVersion=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}, affectedVersions=[Release{id=1, releaseName='4.0.0', releaseDate=2011-12-07, size commitList=0}]}, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

Commit{id=e911559291b6ae9aa310a695fb4174796921ac81, ticket=null, release=Release{id=2, releaseName='4.1.0', releaseDate=2012-06-13, size commitList=110}}

